x_data_plot1,y_data_plot1,x_data_plot2,y_data_plot2
38259,0.014417229,,
38260,0.01435713,,
38261,0.014189814,,
38262,0.014185048,,
38263,0.014269807,,
38264,0.014168639,,
38265,0.014119971,,
38266,0.014011589,,
38267,0.01394908,,
38268,0.013804435,,
38269,0.014024744,,
38270,0.014079725,,
38271,0.013981559,,
38272,0.01376922,,
38273,0.013783249,,
38274,0.013667117,,
38275,0.013573132,,
38276,0.013494885,,
38277,0.013401919,,
38278,0.013397038,,
38279,0.013293179,,
38280,0.013172224,,
38281,0.013302143,,
38282,0.013443515,,
38283,0.013487205,,
38284,0.013306884,,
38285,0.013163126,,
38286,0.013113089,,
38287,0.0129989525,,
38288,0.013024539,,
38289,0.01286249,,
38290,0.012744786,,
38291,0.012630388,,
38292,0.012591998,,
38293,0.01266615,,
38294,0.01268947,,
38295,0.012559887,,
38296,0.012700994,,
38297,0.012615107,,
38298,0.0125642745,,
38299,0.0124767395,,
38300,0.012558571,,
38301,0.012439457,,
38302,0.012349793,,
38303,0.012304838,,
38304,0.012373945,,
38305,0.012763556,,
38306,0.012714766,,
38307,0.0129400175,,
38308,0.012831343,,
38309,0.013246391,,
38310,0.013170137,,
38311,0.013795481,,
38312,0.013799942,,
38313,0.013850243,,
38314,0.013773827,,
38315,0.013802151,,
38316,0.0138743725,,
38317,0.01381266,,
38318,0.013871804,,
38319,0.013896497,,
38320,0.01394817,,
38321,0.013937071,,
38322,0.0139055485,,
38323,0.013991835,,
38324,0.014338193,,
38325,0.014388472,,
38326,0.014228319,,
38327,0.014126678,,
38328,0.014128661,,
38329,0.014527232,,
38330,0.014861044,,
38331,0.014880074,,
38332,0.014728623,,
38333,0.0146911675,,
38334,0.0146411145,,
38335,0.014513328,,
38336,0.014390427,,
38337,0.014248664,,
38338,0.014067174,,
38339,0.014135153,,
38340,0.014040071,,
38341,0.013943965,,
38342,0.01393003,,
38343,0.013788176,,
38344,0.013799887,,
38345,0.01375332,,
38346,0.013645408,,
38347,0.013543428,,
38348,0.013494068,,
38349,0.013783552,,
38350,0.013893067,,
38351,0.014146499,,
38352,0.014038845,,
38353,0.0140501065,,
38354,0.0143429255,,
38355,0.01430006,,
38356,0.014297399,,
38357,0.01411861,,
38358,0.014191992,,
38359,0.014266042,,
38360,0.014459319,,
38361,0.014972705,,
38362,0.014899784,,
38363,0.014709299,,
38364,0.014627146,,
38365,0.014553712,,
38366,0.014459942,,
38367,0.014509605,,
38368,0.014579717,,
38369,0.014669261,,
38370,0.014516031,,
38371,0.014489479,,
38372,0.014397194,,
38373,0.014356843,,
38374,0.014205397,,
38375,0.013989736,,
38376,0.0138304485,,
38377,0.013644684,,
38378,0.01361711,,
38379,0.013478424,,
38380,0.013500292,,
38381,0.01357487,,
38382,0.0141883455,,
38383,0.014286218,,
38384,0.01425204,,
38385,0.015155463,,
38386,0.01617889,,
38387,0.016461678,,
38388,0.016367862,,
38389,0.016225504,,
38390,0.016533893,,
38391,0.016602783,,
38392,0.016420975,,
38393,0.01653208,,
38394,0.016481599,,
38395,0.016848404,,
38396,0.016874501,,
38397,0.016654367,,
38398,0.016533203,,
38399,0.016253619,,
38400,0.016105294,,
38401,0.016177254,,
38402,0.016581792,,
38403,0.01653727,,
38404,0.01637064,,
38405,0.016344296,,
38406,0.016286338,,
38407,0.016233973,,
38408,0.016491355,,
38409,0.016363448,,
38410,0.016489593,,
38411,0.016348168,,
38412,0.016253103,,
38413,0.016084826,,
38414,0.016035058,,
38415,0.01609007,,
38416,0.01593981,,
38417,0.015778212,,
38418,0.015689654,,
38419,0.015801303,,
38420,0.015751155,,
38421,0.015701355,,
38422,0.015504285,,
38423,0.015350377,,
38424,0.0154721495,,
38425,0.015448876,,
38426,0.015490257,,
38427,0.015471396,,
38428,0.015451887,,
38429,0.015649486,,
38430,0.015435055,,
38431,0.0152389025,,
38432,0.015176045,,
38433,0.015200899,,
38434,0.015688848,,
38435,0.01563523,,
38436,0.015492454,,
38437,0.015330577,,
38438,0.015351223,,
38439,0.015206845,,
38440,0.015135096,,
38441,0.015607783,,
38442,0.015381501,,
38443,0.0153059065,,
38444,0.01556485,,
38445,0.015417644,,
38446,0.015783811,,
38447,0.015723564,,
38448,0.015563362,,
38449,0.015463263,,
38450,0.01569637,,
38451,0.015619627,,
38452,0.0153937265,,
38453,0.015218919,,
38454,0.015354178,,
38455,0.015244161,,
38456,0.015391134,,
38457,0.015453519,,
38458,0.015354798,,
38459,0.0151810385,,
38460,0.0150169255,,
38461,0.015079924,,
38462,0.015110909,,
38463,0.014929123,,
38464,0.014862787,,
38465,0.015087854,,
38466,0.014972724,,
38467,0.01490475,,
38468,0.014893634,,
38469,0.014660318,,
38470,0.014587494,,
38471,0.015286567,,
38472,0.015256046,,
38473,0.015100028,,
38474,0.015375049,,
38475,0.015231277,,
38476,0.015142924,,
38477,0.015165164,,
38478,0.0153774135,,
38479,0.015293385,,
38480,0.015120808,,
38481,0.015028196,,
38482,0.015167316,,
38483,0.015111158,,
38484,0.014889014,,
38485,0.014773006,,
38486,0.014989409,,
38487,0.014880824,,
38488,0.014860364,,
38489,0.014671916,,
38490,0.015422644,,
38491,0.0153605975,,
38492,0.01519743,,
38493,0.01513675,,
38494,0.0149691105,,
38495,0.015216121,,
38496,0.01501848,,
38497,0.014983545,,
38498,0.015300798,,
